0,Maruti,800 AC,2007,60000,43750.0,sold,Petrol,Manual,19.8,N/A
1,Maruti,Wagon R LXI Minor,2007,135000,31250.0,sold,Petrol,Manual,20.0,N/A
2,Hyundai,Verna 1.6 SX,2012,600000,62500.0,sold,Diesel,Manual,28.5,N/A
3,Datsun,RediGO T Option,2017,250000,28750.0,sold,Petrol,Manual,16.0,N/A
4,Honda,Amaze VX i-DTEC,2014,450000,88125.0,in stock,Diesel,Manual,19.5,N/A
5,Maruti,Alto LX BSIII,2007,140000,78125.0,sold,Petrol,Manual,25.2,N/A
6,Hyundai,Xcent 1.2 Kappa S,2016,550000,15625.0,sold,Petrol,Manual,20.0,N/A
7,Tata,Indigo Grand Petrol,2014,240000,37500.0,sold,Petrol,Manual,20.8,N/A
8,Hyundai,Creta 1.6 VTVT S,2015,850000,15625.0,sold,Petrol,Manual,26.4,N/A
9,Maruti,Celerio Green VXI,2017,365000,48750.0,sold,CNG,Manual,28.2,N/A
10,Chevrolet,Sail 1.2 Base,2015,260000,21875.0,sold,Petrol,Manual,29.9,N/A
11,Tata,Indigo Grand Petrol,2014,250000,62500.0,in stock,Petrol,Manual,22.0,N/A
12,Toyota,Corolla Altis 1.8 VL CVT,2018,1650000,15625.0,sold,Petrol,Automatic,25.1,N/A
13,Maruti,800 AC,2007,60000,43750.0,sold,Petrol,Manual,22.8,N/A
14,Maruti,Wagon R LXI Minor,2007,135000,31250.0,in stock,Petrol,Manual,28.7,N/A
15,Hyundai,Verna 1.6 SX,2012,600000,62500.0,sold,Diesel,Manual,15.0,N/A
16,Datsun,RediGO T Option,2017,250000,28750.0,sold,Petrol,Manual,18.7,N/A
17,Honda,Amaze VX i-DTEC,2014,450000,88125.0,sold,Diesel,Manual,17.8,N/A
18,Maruti,Alto LX BSIII,2007,140000,78125.0,sold,Petrol,Manual,23.2,N/A
19,Hyundai,Xcent 1.2 Kappa S,2016,550000,15625.0,in stock,Petrol,Manual,15.3,N/A
20,Tata,Indigo Grand Petrol,2014,240000,37500.0,sold,Petrol,Manual,29.7,N/A
21,Hyundai,Creta 1.6 VTVT S,2015,850000,15625.0,in stock,Petrol,Manual,25.5,N/A
22,Maruti,Celerio Green VXI,2017,365000,48750.0,sold,CNG,Manual,27.5,N/A
23,Chevrolet,Sail 1.2 Base,2015,260000,21875.0,sold,Petrol,Manual,27.5,N/A
24,Tata,Indigo Grand Petrol,2014,250000,62500.0,sold,Petrol,Manual,19.1,N/A
25,Toyota,Corolla Altis 1.8 VL CVT,2018,1650000,15625.0,in stock,Petrol,Automatic,25.8,N/A
26,Maruti,Ciaz VXi Plus,2015,585000,15000.0,in stock,Petrol,Manual,25.5,N/A
27,Hyundai,Venue SX Opt Diesel,2019,1195000,3125.0,sold,Diesel,Manual,30.2,N/A
